entity_id,event_id,timestamp,risk_score,score_method
USR-000106,EVT-0000001,2026-06-10 00:03:58.076442,0.6630479366086987,baseline_fallback
SVC-000056,EVT-0000002,2026-06-10 00:15:09.673717,0.611933954685676,baseline_fallback
USR-000165,EVT-0000003,2026-06-10 00:15:24.320858,0.8974618917813626,baseline_fallback
DEV-000011,EVT-0000004,2026-06-10 00:24:36.393520,0.5274614905877772,baseline_fallback
USR-000106,EVT-0000005,2026-06-10 00:29:43.529394,0.6915257586749425,baseline_fallback
SVC-000059,EVT-0000006,2026-06-10 00:43:37.464362,0.5674667351775092,baseline_fallback
SVC-000047,EVT-0000007,2026-06-10 00:50:23.516326,0.5843574404187973,baseline_fallback
USR-000106,EVT-0000008,2026-06-10 00:51:38.705502,0.706170979253942,baseline_fallback
USR-000106,EVT-0000009,2026-06-10 00:53:19.433475,0.7255786721184322,baseline_fallback
DEV-000026,EVT-0000010,2026-06-10 00:54:08.992853,0.48021129563707077,baseline_fallback
DEV-000002,EVT-0000011,2026-06-10 01:20:32.061368,0.5146823201473413,baseline_fallback
SVC-000018,EVT-0000012,2026-06-10 01:27:10.678793,0.64915943077738,baseline_fallback
SVC-000056,EVT-0000013,2026-06-10 01:27:27.280961,0.5784468776998231,baseline_fallback
DEV-000014,EVT-0000014,2026-06-10 01:28:57.465911,0.2951052532346837,baseline_fallback
SVC-000041,EVT-0000015,2026-06-10 01:32:43.346370,0.9130079066741462,baseline_fallback
DEV-000009,EVT-0000016,2026-06-10 01:33:03.620299,0.5566459878175309,baseline_fallback
SVC-000056,EVT-0000017,2026-06-10 01:33:15.610457,0.9620163056015644,baseline_fallback
USR-000106,EVT-0000018,2026-06-10 01:43:58.908061,0.7593039825034139,baseline_fallback
USR-000165,EVT-0000019,2026-06-10 01:49:10.848170,0.7746555573935316,baseline_fallback
DEV-000007,EVT-0000020,2026-06-10 01:49:44.103016,0.9386046848751903,baseline_fallback
SVC-000041,EVT-0000021,2026-06-10 01:52:14.052741,0.6449693517247523,baseline_fallback
USR-000124,EVT-0000022,2026-06-10 01:53:14.012943,0.7312481589101835,baseline_fallback
SVC-000041,EVT-0000023,2026-06-10 01:53:40.234740,0.8780298288187817,baseline_fallback
SVC-000041,EVT-0000024,2026-06-10 01:59:02.189488,0.618178642662411,baseline_fallback
SVC-000041,EVT-0000025,2026-06-10 01:59:11.024545,0.590376381302818,baseline_fallback
USR-000141,EVT-0000026,2026-06-10 01:59:27.956429,0.9097583532856897,baseline_fallback
USR-000106,EVT-0000027,2026-06-10 02:06:02.156550,0.7697988662781761,baseline_fallback
SVC-000018,EVT-0000028,2026-06-10 02:10:10.390599,0.559841932467792,baseline_fallback
SVC-000041,EVT-0000029,2026-06-10 02:12:27.203865,0.6734423904503565,baseline_fallback
SVC-000018,EVT-0000030,2026-06-10 02:13:02.538901,0.5547278410503949,baseline_fallback
DEV-000024,EVT-0000031,2026-06-10 02:16:24.145450,0.9394965981955958,baseline_fallback
SVC-000018,EVT-0000032,2026-06-10 02:16:50.162562,0.4773879173550045,baseline_fallback
SVC-000018,EVT-0000033,2026-06-10 02:18:11.439799,0.8506558525428324,baseline_fallback
USR-000075,EVT-0000034,2026-06-10 02:18:16.627416,0.774561291340001,baseline_fallback
SVC-000018,EVT-0000035,2026-06-10 02:18:27.651051,0.5356022566974344,baseline_fallback
USR-000165,EVT-0000036,2026-06-10 02:18:41.517939,0.7904389072178577,baseline_fallback
SVC-000014,EVT-0000037,2026-06-10 02:20:06.124027,0.5535326124214179,baseline_fallback
USR-000182,EVT-0000038,2026-06-10 02:27:36.820233,0.7514968131203436,baseline_fallback
USR-000182,EVT-0000039,2026-06-10 02:30:11.223495,0.7149272538077424,baseline_fallback
USR-000182,EVT-0000040,2026-06-10 02:30:34.171019,0.7589585890995477,baseline_fallback
SVC-000018,EVT-0000041,2026-06-10 02:41:16.354149,0.8795116329796235,baseline_fallback
DEV-000018,EVT-0000042,2026-06-10 02:44:42.846525,0.9845238734113348,baseline_fallback
DEV-000021,EVT-0000043,2026-06-10 02:45:09.226372,0.26472803682868595,baseline_fallback
SVC-000018,EVT-0000044,2026-06-10 02:45:28.051239,0.4810646517841761,baseline_fallback
SVC-000041,EVT-0000045,2026-06-10 02:46:21.112426,0.9035780442033807,baseline_fallback
SVC-000056,EVT-0000046,2026-06-10 02:48:33.371850,0.8997862263779585,baseline_fallback
SVC-000041,EVT-0000047,2026-06-10 02:50:36.912747,0.8680846826707054,baseline_fallback
DEV-000023,EVT-0000048,2026-06-10 02:55:53.777717,0.5494440751704194,baseline_fallback
DEV-000003,EVT-0000049,2026-06-10 03:03:30.099754,0.3398319439492409,baseline_fallback
SVC-000018,EVT-0000050,2026-06-10 03:04:43.656692,0.48830906896143395,baseline_fallback
DEV-000003,EVT-0000051,2026-06-10 03:05:35.078247,0.6045359115911727,baseline_fallback
SVC-000041,EVT-0000052,2026-06-10 03:15:18.487416,0.8505780037542058,baseline_fallback
DEV-000011,EVT-0000053,2026-06-10 03:15:59.466871,0.5402630842831851,baseline_fallback
SVC-000018,EVT-0000054,2026-06-10 03:26:10.633492,0.5696107016369142,baseline_fallback
DEV-000016,EVT-0000055,2026-06-10 03:33:24.508750,0.5629834963552757,baseline_fallback
SVC-000014,EVT-0000056,2026-06-10 03:35:49.906924,0.7648036713909856,baseline_fallback
DEV-000020,EVT-0000057,2026-06-10 03:37:23.820282,0.36397150523165145,baseline_fallback
DEV-000022,EVT-0000058,2026-06-10 03:41:20.342589,0.9548436650203266,baseline_fallback
DEV-000010,EVT-0000059,2026-06-10 03:45:08.084849,0.3921771482030149,baseline_fallback
USR-000025,EVT-0000060,2026-06-10 03:48:25.794149,0.8452855591847319,baseline_fallback
SVC-000019,EVT-0000061,2026-06-10 03:49:11.632345,0.6425208151972889,baseline_fallback
DEV-000023,EVT-0000062,2026-06-10 03:51:47.625571,0.3499507926046199,baseline_fallback
USR-000036,EVT-0000063,2026-06-10 03:52:51.664168,0.959305538446172,baseline_fallback
SVC-000015,EVT-0000064,2026-06-10 03:53:15.081307,0.9688483224215397,baseline_fallback
SVC-000014,EVT-0000065,2026-06-10 03:54:28.928114,0.4575493276873998,baseline_fallback
SVC-000014,EVT-0000066,2026-06-10 03:55:24.056084,0.7648036713909856,baseline_fallback
SVC-000015,EVT-0000067,2026-06-10 04:00:59.136469,0.9437377189297802,baseline_fallback
USR-000088,EVT-0000068,2026-06-10 04:02:56.165240,0.6364087727447616,baseline_fallback
SVC-000015,EVT-0000069,2026-06-10 04:06:37.561771,0.9377705815757772,baseline_fallback
SVC-000020,EVT-0000070,2026-06-10 04:07:23.496619,0.8414983084129745,baseline_fallback
DEV-000013,EVT-0000071,2026-06-10 04:07:52.053343,0.5449651330023116,baseline_fallback
SVC-000014,EVT-0000072,2026-06-10 04:07:56.145150,0.6477257188634682,baseline_fallback
SVC-000015,EVT-0000073,2026-06-10 04:12:46.187235,0.9350786635143992,baseline_fallback
USR-000025,EVT-0000074,2026-06-10 04:16:11.069559,0.6360840857543102,baseline_fallback
SVC-000014,EVT-0000075,2026-06-10 04:17:35.687475,0.5115474048930048,baseline_fallback
SVC-000014,EVT-0000076,2026-06-10 04:18:31.438870,0.3442754200921904,baseline_fallback
SVC-000007,EVT-0000077,2026-06-10 04:22:51.873331,0.31446835573003046,baseline_fallback
SVC-000020,EVT-0000078,2026-06-10 04:23:01.921661,0.947318355031758,baseline_fallback
USR-000036,EVT-0000079,2026-06-10 04:24:09.090663,0.8871534619218296,baseline_fallback
USR-000157,EVT-0000080,2026-06-10 04:24:13.350398,0.8389847204286911,baseline_fallback
SVC-000007,EVT-0000081,2026-06-10 04:25:55.857218,0.3795870930974909,baseline_fallback
USR-000036,EVT-0000082,2026-06-10 04:28:24.402053,0.889075872042692,baseline_fallback
SVC-000020,EVT-0000083,2026-06-10 04:30:26.689980,0.8511156668594752,baseline_fallback
SVC-000007,EVT-0000084,2026-06-10 04:30:43.513748,0.3795909776777925,baseline_fallback
DEV-000013,EVT-0000085,2026-06-10 04:34:59.714082,0.26191995463318324,baseline_fallback
SVC-000015,EVT-0000086,2026-06-10 04:36:50.222709,0.9530589078129219,baseline_fallback
DEV-000026,EVT-0000087,2026-06-10 04:37:24.075043,0.4591659784889777,baseline_fallback
DEV-000021,EVT-0000088,2026-06-10 04:38:03.090619,0.30223961640590835,baseline_fallback
SVC-000014,EVT-0000089,2026-06-10 04:40:05.354289,0.5596437542869932,baseline_fallback
USR-000138,EVT-0000090,2026-06-10 04:41:25.755893,0.9100639326605461,baseline_fallback
USR-000070,EVT-0000091,2026-06-10 04:41:58.776607,0.7193515075134103,baseline_fallback
USR-000096,EVT-0000092,2026-06-10 04:42:05.531243,0.8902156110911376,baseline_fallback
SVC-000007,EVT-0000093,2026-06-10 04:43:21.407757,0.32912506979350803,baseline_fallback
SVC-000007,EVT-0000094,2026-06-10 04:43:31.461976,0.4563900169452416,baseline_fallback
SVC-000007,EVT-0000095,2026-06-10 04:44:19.916633,0.3719133225296158,baseline_fallback
SVC-000007,EVT-0000096,2026-06-10 04:49:51.017360,0.48398632399867564,baseline_fallback
SVC-000014,EVT-0000097,2026-06-10 04:52:14.360873,0.6106446102119385,baseline_fallback
SVC-000015,EVT-0000098,2026-06-10 04:54:24.362521,0.9336489111672814,baseline_fallback
