entity_id,event_id,timestamp,risk_score,score_method
USR-000106,EVT-0000001,2026-06-10 00:03:58.076442,0.6647765446070852,baseline_fallback
SVC-000056,EVT-0000002,2026-06-10 00:15:09.673717,0.611933954685676,baseline_fallback
USR-000165,EVT-0000003,2026-06-10 00:15:24.320858,0.899541831839695,baseline_fallback
DEV-000011,EVT-0000004,2026-06-10 00:24:36.393520,0.5274614905877772,baseline_fallback
USR-000106,EVT-0000005,2026-06-10 00:29:43.529394,0.6935715226654111,baseline_fallback
SVC-000059,EVT-0000006,2026-06-10 00:43:37.464362,0.5674667351775092,baseline_fallback
SVC-000047,EVT-0000007,2026-06-10 00:50:23.516326,0.5843574404187973,baseline_fallback
USR-000106,EVT-0000008,2026-06-10 00:51:38.705502,0.7083659022029569,baseline_fallback
USR-000106,EVT-0000009,2026-06-10 00:53:19.433475,0.7279544457683045,baseline_fallback
DEV-000026,EVT-0000010,2026-06-10 00:54:08.992853,0.48021129563707077,baseline_fallback
DEV-000002,EVT-0000011,2026-06-10 01:20:32.061368,0.5146823201473413,baseline_fallback
SVC-000018,EVT-0000012,2026-06-10 01:27:10.678793,0.64915943077738,baseline_fallback
SVC-000056,EVT-0000013,2026-06-10 01:27:27.280961,0.5784468776998231,baseline_fallback
DEV-000014,EVT-0000014,2026-06-10 01:28:57.465911,0.2951052532346837,baseline_fallback
SVC-000041,EVT-0000015,2026-06-10 01:32:43.346370,0.9130079066741462,baseline_fallback
DEV-000009,EVT-0000016,2026-06-10 01:33:03.620299,0.5566459878175309,baseline_fallback
SVC-000056,EVT-0000017,2026-06-10 01:33:15.610457,0.9620163056015644,baseline_fallback
USR-000106,EVT-0000018,2026-06-10 01:43:58.908061,0.7617439803516355,baseline_fallback
USR-000165,EVT-0000019,2026-06-10 01:49:10.848170,0.7771981104753163,baseline_fallback
DEV-000007,EVT-0000020,2026-06-10 01:49:44.103016,0.9386046848751903,baseline_fallback
SVC-000041,EVT-0000021,2026-06-10 01:52:14.052741,0.6449693517247523,baseline_fallback
USR-000124,EVT-0000022,2026-06-10 01:53:14.012943,0.733460309885306,baseline_fallback
SVC-000041,EVT-0000023,2026-06-10 01:53:40.234740,0.8780298288187817,baseline_fallback
SVC-000041,EVT-0000024,2026-06-10 01:59:02.189488,0.618178642662411,baseline_fallback
